distance(cm);start;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;end;index;code
300;8126;1524;1543;527;525;527;527;527;1534;1533;1538;526;527;526;1533;1524;1533;1533;1533;526;530;526;567;527;526;527;526;1533;1532;1533;1533;1542;1533;920;0;s110000011100011111000e0000111111t;
300;8131;1524;1524;527;518;527;527;518;1533;1542;1542;527;536;528;1533;1533;1533;1524;1533;527;518;526;526;526;526;517;526;1533;1524;1531;1524;1542;1542;920;1;s11000001110e01111100000000111111t;
300;8139;1533;1533;527;528;535;527;536;1534;1534;1533;536;526;536;1533;1533;1533;1533;1524;517;579;518;527;527;527;527;518;1534;1534;1542;1533;1536;1533;920;2;s1100e0e111e0e111110e000000111111t;
300;8123;1524;1534;536;527;536;527;527;1534;877;1534;508;527;518;1533;1534;1534;1533;1534;527;536;527;527;531;518;536;527;1533;1534;1715;1535;1542;1542;929;3;s11e0e001e1e00111110e0000e011e111t;
300;8130;1542;1542;527;535;572;518;526;1533;1533;1524;527;526;518;1524;1533;1533;1533;1542;527;536;517;527;527;526;536;527;1533;1543;1542;1533;1533;1534;930;4;s110ee00111000111110e0000e0111111t;
300;8129;1533;1524;527;527;536;527;527;1535;1533;1533;526;536;527;1535;1533;1529;1542;1542;527;527;390;518;527;527;518;527;1524;1533;1531;1598;1533;1542;920;5;s1100e001110e01111100e00000111e11t;
300;8123;1533;1534;517;527;534;518;527;1525;1533;1530;527;527;536;1543;1534;1533;1534;1524;527;537;527;527;528;527;527;518;1533;1534;1543;1886;1534;1532;929;6;s110000011100e111110e000000111e11t;
300;8130;1533;1533;527;527;527;527;527;1533;1524;1524;527;517;581;1540;1534;1524;1533;1533;536;527;527;582;527;536;527;536;1535;1535;1533;1532;1534;1533;930;7;s110000011100e11111e00e0e0e111111t;
300;8131;1524;1524;536;527;536;527;518;1533;1542;1543;527;536;527;1533;1533;1533;1539;1543;527;536;527;518;527;527;527;527;1524;1525;1524;1543;1543;1533;930;8;s11e0e001110e0111110e000000111111t;
300;8122;1533;1533;526;536;527;526;527;1533;1533;1533;527;527;527;1541;1533;1533;1533;1533;527;527;518;526;527;527;527;582;1534;1534;1533;1540;1524;1524;930;9;s110e000111000111110000000e111111t;
300;8122;1533;1529;526;526;527;534;527;1533;1533;1533;581;558;527;1533;1533;1532;1533;1533;527;572;518;525;527;535;526;527;1542;1533;1533;1533;1533;1533;924;10;s1100000111ee0111110e000e00111111t;
300;8133;1543;1542;527;527;527;527;536;1534;1533;1533;518;527;527;1531;1542;1534;1533;1561;527;536;527;526;535;527;536;527;1534;1534;1543;1536;1533;1533;930;11;s110000e1110001111e0e00e0e0111111t;
300;8131;1532;1533;526;526;527;529;527;1524;1524;1523;535;526;527;1533;1533;1533;1524;1533;536;527;527;536;517;572;518;527;1533;1542;1533;1533;1534;1534;920;12;s1100000111e0011111e00e0e00111111t;
300;8125;1528;1537;530;531;521;530;521;1528;1527;1537;530;521;530;1537;1537;1536;1537;1527;530;521;530;521;512;585;521;530;1536;1537;1536;1527;1528;1527;923;13;s1100000111000111110000ee00111111t;
300;8124;1533;1524;526;527;536;532;527;1533;1533;1526;526;536;527;1533;1531;1542;1860;1533;527;527;527;526;526;526;581;527;1533;1524;1533;1533;1535;1534;930;14;s1100e001110e0111e1000000e0111111t;
300;8122;1542;1533;527;536;527;536;527;1533;1533;1533;527;527;536;1533;1533;1533;1534;1524;582;527;527;536;524;536;582;526;1533;1543;1542;1542;1533;1533;929;15;s110e0e011100e11111e00e0ee0111111t;
300;8124;1533;1534;527;527;517;536;527;1533;1533;1533;526;526;530;1533;1536;1533;1525;1534;536;527;527;527;527;527;527;527;1534;1543;1534;1533;1531;1533;920;16;s11000e011100011111e0000000111111t;
300;8131;1534;1534;518;527;518;527;526;1525;1523;1533;527;517;527;1533;1533;1533;1523;1524;527;526;527;526;536;527;526;536;1533;1534;1534;1533;1533;1542;920;17;s1100000111000111110000e00e111111t;
300;8125;1528;1546;530;530;531;521;530;1537;1537;1537;530;530;521;1528;1528;1536;1527;1528;521;530;531;521;530;521;530;530;1537;1527;1536;1537;1536;1527;924;18;s1e000001110001111100000000111111t;
300;8132;1524;1524;536;527;536;527;527;1542;1542;1533;526;535;527;1533;1540;1525;1533;1533;536;536;527;535;526;536;527;526;1533;1533;1533;1542;1540;1533;920;19;s11e0e001110e011111ee0e0e00111111t;
300;8142;1542;1533;526;526;518;526;526;1533;1534;1527;526;526;526;1533;1533;1534;1533;1533;536;527;527;527;527;596;527;527;1533;1533;1533;1541;1524;1530;920;20;s110000011100011111e0000e00111111t;
300;8125;1537;1537;521;531;521;530;576;1528;1528;1527;531;521;530;1536;1537;1537;1527;1528;530;530;539;585;521;539;530;531;1540;1536;1537;1528;1536;1537;923;21;s110000e1110001111100ee0e00111111t;
300;8135;1534;1533;527;526;526;526;535;1533;1533;1533;526;581;572;1524;1469;1991;1534;1533;548;518;527;527;527;527;527;573;1525;1531;1530;1522;1530;1534;920;22;s110000e1110ee1ee11e000000e111111t;
300;8122;1534;1533;527;527;527;518;527;1534;1534;1527;536;581;517;1533;1532;1533;1542;1542;527;527;572;517;536;526;536;527;1533;1533;1543;1542;1542;1542;930;23;s1100000111ee01111100e0e0e0111111t;
300;8126;1524;1533;536;527;527;527;518;1533;1533;1542;527;535;527;1533;1534;1533;1524;1533;527;517;527;528;536;527;582;527;1533;1534;1533;1524;1523;1533;930;24;s11e00001110e0111110000e0e0111111t;
300;8129;1533;1533;526;527;535;527;518;1533;1533;1533;526;527;526;1533;1524;1524;1524;1524;536;526;527;526;526;527;581;527;1533;1534;1534;1524;1534;1533;921;25;s1100e0011100011111e00000e0111111t;
300;8131;1534;1534;527;536;527;527;536;1533;1533;1533;527;527;527;1534;1533;1534;1534;1534;518;527;527;530;535;526;527;517;1524;1533;1533;1533;1539;1533;920;26;s110e00e111000111110000e000111111t;
300;8139;1533;1524;527;526;536;527;518;1533;1533;1533;526;527;526;1533;1534;1524;1534;1533;527;518;527;518;527;527;527;527;1533;1524;1524;1533;1543;1543;920;27;s1100e001110001111100000000111111t;
300;8124;1536;1528;521;530;530;540;530;1536;1892;1527;530;530;530;1537;1528;1537;1536;1537;530;522;521;530;521;521;530;531;1528;1537;1536;1536;1534;1528;923;28;s11000e01e10001111100000000111111t;
300;8130;1524;1543;527;527;537;528;482;1534;660;1534;527;527;527;1533;1510;1542;1543;1268;527;536;526;526;536;527;536;527;1533;1534;1802;1548;1533;1533;929;29;s1100e0e1e10001111e0e00e0e011ee11t;
300;8122;1533;1534;527;518;527;518;527;1533;1533;1533;518;526;527;1525;1524;1531;1533;1533;527;582;526;518;526;517;527;526;1524;1524;1524;1533;1533;1533;929;30;s1100000111000111110e000000111111t;
300;8123;1533;1533;527;527;527;527;527;1527;1533;1534;527;527;527;1534;1534;1530;1534;1524;536;527;527;527;527;527;527;527;1534;1534;1533;1534;1533;1525;929;31;s110000011100011111e0000000111111t;
300;8131;1533;1533;527;536;526;527;527;1533;1533;1532;526;527;526;1542;1533;1533;1533;1533;527;581;527;527;526;526;526;526;1525;1524;1534;1534;1533;1542;929;32;s110e000111000111110e000000111111t;
300;8123;1533;1524;536;527;527;582;527;1533;1542;1542;526;526;526;1533;1533;1533;1533;1533;581;526;526;526;526;526;526;526;1529;1533;1533;1533;1524;1524;920;33;s11e00e011100011111e0000000111111t;
300;8130;1533;1542;527;535;526;610;527;1533;1533;1533;535;526;527;1542;1542;1533;1533;1534;527;527;527;733;536;527;536;526;1533;1534;1543;1533;1534;1533;920;34;s110e0e0111e0011111000ee0e0111111t;
