distance(cm);start;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;end;index;code
50;9811;1811;1820;585;594;594;604;592;1811;1802;1820;603;585;594;1811;1810;1820;1811;1811;595;594;594;603;595;594;594;594;1812;1811;1810;1811;1811;1811;1070;0;s11000001110001111100000000111111t;
50;9807;1812;1818;601;601;591;600;600;1808;1814;1811;601;601;591;1817;1808;1814;1817;1818;601;600;600;591;601;591;590;599;1812;1369;1808;1808;1810;1816;1075;1;s110000011100011111000000001e1111t;
50;9800;1817;1817;654;591;599;591;599;1816;1816;1817;600;600;590;1817;1808;1817;1817;1818;600;600;591;600;600;591;600;591;1808;1807;1817;1808;1817;1808;1083;2;s11e00001110001111100000000111111t;
50;9809;1808;1817;600;591;600;591;600;1816;1816;1808;600;600;591;1817;1817;1817;1817;1817;591;600;597;591;600;600;591;554;1817;1807;1817;1807;1817;1808;1084;3;s1100000111000111110000000e111111t;
50;9804;1817;1817;592;600;591;600;591;1808;1815;1817;591;591;601;1817;1817;1808;1815;1808;591;600;600;591;591;600;600;591;1808;1808;1807;1808;1809;1817;1076;4;s11000001110001111100000000111111t;
50;9801;1808;1817;590;600;600;600;591;1817;1817;1817;600;591;600;1826;1808;1807;1808;1808;600;600;591;600;590;591;600;599;1805;1817;1808;1817;1807;1817;1076;5;s11000001110001111100000000111111t;
50;9810;1808;1817;600;591;590;600;600;1807;1817;1808;600;600;590;1814;1817;1817;1817;1816;600;600;600;591;600;590;591;600;1817;1808;1185;1810;1820;1810;1078;6;s1100000111000111110000000011e111t;
50;9807;299;1808;1820;591;592;601;600;592;1810;1801;1810;601;591;591;1817;1807;1807;1807;1816;600;590;600;600;590;591;600;599;1817;1807;1807;1808;1807;1817;7;se11000001110001111100000000111111;
50;9808;1816;1817;586;590;600;599;591;1817;1808;1817;599;591;600;1817;1817;1817;1818;1817;600;591;591;600;591;591;600;601;1817;1817;1817;1818;1814;1815;1075;8;s11000001110001111100000000111111t;
50;9801;1817;1808;600;600;600;591;590;1817;1808;1817;590;600;590;1808;1817;1807;1807;1816;590;595;600;591;600;591;600;591;1817;1817;1817;1817;1817;1817;1076;9;s11000001110001111100000000111111t;
50;9808;298;1816;1817;582;600;600;599;590;1817;1806;1807;600;590;591;1817;1807;1817;1817;1807;600;591;590;590;591;590;591;600;1807;1817;1807;1816;1808;1808;10;se11000001110001111100000000111111;
50;9797;1817;1817;591;600;600;591;591;1817;1808;1817;590;600;590;1816;1808;1817;1807;1817;591;592;601;601;601;591;600;592;1816;1817;1811;1817;1808;1817;1076;11;s11000001110001111100000000111111t;
50;9806;283;1813;1812;595;594;594;433;594;1811;1820;1811;594;603;594;1811;1820;1811;1820;1811;594;603;594;595;595;604;594;594;1812;1811;1821;1811;1811;1811;12;se11000e01110001111100000000111111;
50;9801;1815;1808;600;609;590;600;599;1807;1817;1808;599;590;599;1817;1817;1817;1815;1808;599;600;591;600;591;599;591;590;1817;1808;1816;1807;1817;1807;1076;13;s11000001110001111100000000111111t;
50;9808;1808;1808;600;600;590;653;600;1817;1816;1817;591;600;591;1808;1816;1808;1817;1807;599;600;591;600;591;600;591;591;1817;1817;1926;1817;1817;1817;1076;14;s11000e0111000111110000000011e111t;
50;9798;1808;1826;590;590;600;590;591;1816;1807;1816;599;600;591;1816;1807;1817;1808;1806;591;591;600;600;590;600;599;600;1798;1817;1817;1817;1817;1817;1076;15;s11000001110001111100000000111111t;
50;9804;1812;1811;585;594;595;603;594;2234;1811;1811;594;594;592;1811;1811;1820;1811;1811;604;594;594;604;595;594;594;604;1814;1809;1802;1820;1817;1811;1080;16;s1100000e110001111100000000111111t;
50;9805;298;1808;1198;591;592;591;600;601;1810;1819;1810;591;600;591;1808;1819;1807;1817;1806;644;591;590;591;600;591;590;1817;1808;1817;1810;1817;1808;1076;17;se1e00000111000111110000000111111t;
50;9803;1820;1818;604;603;585;594;595;1810;1821;1812;594;595;595;1811;1820;1811;1811;1812;594;595;603;594;603;649;594;595;1811;1802;1820;1811;1868;1821;1079;18;s110000011100011111000000001111e1t;
50;9801;1817;1808;600;600;598;591;601;1817;1735;1817;591;601;600;1808;1818;1808;938;1851;591;600;591;591;600;600;600;595;1817;1808;1817;1817;1816;1816;1093;19;s11000001e1000111e100000000111111t;
50;9802;1810;1811;595;595;594;594;604;1811;1811;1827;594;594;594;1811;1811;1811;1820;1811;597;604;594;594;594;604;603;594;1811;1804;1812;1820;1811;1820;1079;20;s11000001110001111100000000111111t;
50;9803;1811;1811;595;594;594;604;604;1820;1820;1811;595;603;594;1821;1819;1812;1820;1811;603;594;585;594;594;603;594;594;1820;1812;1818;1811;1821;1812;1079;21;s11000001110001111100000000111111t;
50;9807;1817;1816;600;591;590;600;600;1807;1817;1808;600;591;590;1817;1808;1901;1808;1815;601;603;591;591;600;600;591;591;1817;1808;1817;1808;1813;1808;1085;22;s110000011100011e1100000000111111t;
50;9800;1808;1808;600;590;591;600;600;1808;1817;1808;600;600;591;1813;1808;1808;1817;1816;591;600;591;591;600;600;600;591;1808;1807;1817;1808;1817;1808;1082;23;s11000001110001111100000000111111t;
50;9800;1816;1808;591;600;600;591;600;1816;1816;1817;590;590;600;1817;1817;1808;1817;1808;591;600;606;591;600;591;600;591;1817;1808;1817;1808;1816;1816;1075;24;s11000001110001111100000000111111t;
50;9799;1821;1802;594;604;594;594;594;1821;1811;1811;594;594;603;1811;1811;1811;1814;1811;594;594;594;604;585;594;595;594;1811;1811;1812;1821;1811;1811;1070;25;s11000001110001111100000000111111t;
50;9798;1810;1810;592;600;592;601;592;1808;1817;1816;599;572;600;1807;1816;1808;1817;1807;590;600;599;591;590;600;599;591;1814;1817;1817;1808;1817;1816;1075;26;s11000001110001111100000000111111t;
50;9801;1817;1808;600;600;591;590;600;1807;1808;1808;591;591;601;1815;1818;1808;1817;1808;591;601;600;591;591;600;600;591;1817;1808;1814;1807;1808;1817;1076;27;s11000001110001111100000000111111t;
50;9804;1818;1816;590;590;600;591;600;1816;1816;1808;600;590;591;1665;1817;1805;1817;1808;600;600;590;600;590;600;591;590;1817;1808;1817;1807;1817;1808;1085;28;s1100000111000e111100000000111111t;
50;9800;1816;1808;600;591;599;600;590;1817;1808;1816;590;600;590;1807;1808;1807;1807;1826;591;599;600;591;600;591;600;591;1816;1807;1816;1817;1817;1816;1076;29;s11000001110001111100000000111111t;
50;9801;1817;1817;590;600;591;600;598;1814;1808;1817;600;591;600;1817;1817;1817;1816;1816;590;590;600;600;591;591;600;599;1807;1816;1808;1817;1808;1808;1075;30;s11000001110001111100000000111111t;
50;9801;1819;1810;591;600;591;601;591;1810;1819;1810;601;591;601;1810;1820;1810;1819;1810;592;600;592;591;601;601;591;592;1820;1810;1810;1810;1810;1810;1077;31;s11000001110001111100000000111111t;
50;9800;1817;1807;599;600;590;591;600;1808;1816;1816;591;599;600;1816;1816;1817;1817;1807;590;600;599;591;590;600;600;590;1816;1807;1817;1818;1817;1817;1076;32;s11000001110001111100000000111111t;
50;9804;1819;1811;604;594;594;594;604;1811;1812;1802;594;594;604;1811;1811;1811;1821;1811;594;604;594;585;594;594;594;594;1820;1811;1811;1809;1837;1802;1079;33;s11000001110001111100000000111111t;
50;9801;1814;1823;586;595;595;595;595;1814;1802;1820;604;585;594;1811;1811;1820;1811;1811;585;594;594;603;585;594;594;594;1809;1820;1811;1811;1811;1815;1079;34;s11000001110001111100000000111111t;
50;9802;1828;1812;594;595;594;603;594;1821;1812;1811;594;603;595;1811;1811;1812;1811;1811;603;594;585;595;594;594;594;604;1811;1811;1802;1818;1811;1811;1079;35;s11000001110001111100000000111111t;
50;9801;1817;1808;601;600;591;588;601;1808;1817;1808;591;600;600;1203;1812;1811;1820;1816;591;600;591;591;600;600;600;591;1817;1808;1816;1811;764;1817;1075;36;s1100000111000e1111000000001111e1t;
50;9800;2033;1807;590;599;606;591;600;1817;1817;1817;591;600;591;1808;1817;1808;1813;2348;573;592;600;592;600;601;591;592;1810;1810;1820;1810;1810;1820;1077;37;se1000001110001111e00000000111111t;
50;9794;1817;1817;591;591;600;600;590;1816;1807;1914;600;592;591;1820;1810;1818;1807;1817;599;590;600;600;590;590;599;591;1810;1817;1853;1817;1808;1808;1076;38;s110000011e0001111100000000111111t;
50;9801;298;1817;1817;581;600;600;600;591;1814;1799;1808;591;592;591;1814;1808;1808;1808;1807;600;591;591;597;591;591;591;600;1807;1817;1808;1817;1808;1817;39;se11000001110001111100000000111111;
50;9809;1816;1817;600;591;600;590;590;1816;1817;1816;590;600;591;1807;1808;1808;1817;1808;600;600;591;600;591;591;591;591;1808;1808;1817;1808;1817;1807;1085;40;s11000001110001111100000000111111t;
50;9807;1817;1807;600;600;600;591;600;1817;1817;1817;591;600;600;1808;1808;1808;1817;1807;600;591;592;591;601;591;591;591;1817;1805;1817;1808;1817;1808;241;41;s11000001110001111100000000111111e;
50;9792;1808;1817;592;591;601;600;591;1816;1808;1817;590;590;591;1817;1814;1817;1807;1808;600;591;591;998;599;590;590;600;1807;1817;1824;1808;1815;1808;1085;42;s110000011100011111000e0000111111t;
