distance(cm);start;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;end;index;code
5;10160;3143;3142;607;607;606;616;606;3135;3135;3137;616;615;607;3127;3134;3125;3134;3134;607;607;607;607;615;615;615;607;3134;3134;3134;3134;3134;3143;0;s11000001110001111100000000111111;
5;10163;3138;3130;606;606;614;605;605;3130;3138;3129;605;605;605;3139;3139;3138;3130;3130;615;606;615;614;597;605;605;605;3139;3128;3130;3139;3138;3129;1;s11000001110001111100000000111111;
5;10150;3138;3130;606;615;605;614;614;3130;3130;3135;605;606;606;3139;3139;3139;3135;3369;615;598;598;607;607;607;607;607;3135;3135;3131;3152;3139;3136;2;s11000001110001111e00000000111111;
5;10154;3619;3130;615;606;606;614;605;3129;3129;3132;606;606;495;3139;3137;3134;3134;3134;615;615;607;597;607;606;607;606;3143;3125;3134;3134;3132;3134;3;se10000011100e1111100000000111111;
5;10155;3140;3131;615;615;606;605;614;3130;3138;3130;606;606;3136;3129;3139;3130;3139;615;615;606;615;606;604;605;605;3139;3139;3138;3129;3129;3137;1108;4;s1100000111001111100000000111111e;
5;10154;3130;3139;606;615;606;606;615;3139;2474;3130;606;601;606;3139;3140;3138;3133;3139;606;630;608;606;606;606;606;3140;3129;3138;3138;3138;3130;1118;5;s11000001e1000111110000000111111e;
5;10153;3138;3130;614;614;606;614;614;3129;3138;3138;606;605;606;3139;3138;3138;3125;3130;614;606;614;614;614;606;606;605;3139;3129;3138;3129;3138;3130;6;s11000001110001111100000000111111;
5;10158;3138;3138;614;605;605;606;609;3138;3132;3193;606;615;614;3129;3138;3138;3138;3129;606;605;615;605;614;606;615;614;3161;3139;3130;3133;3130;3130;7;s110000011e0001111100000000111111;
5;10151;3133;3143;616;615;615;616;598;3134;3138;3129;615;605;614;3129;3139;3129;3138;3129;605;606;606;605;605;614;606;614;3129;3139;3129;3138;3129;3138;8;s11000001110001111100000000111111;
5;10145;3138;3137;606;606;615;605;605;3147;3138;3139;615;606;606;3138;3130;3138;3129;3129;606;606;615;605;614;615;606;606;3137;3129;3130;3137;3139;3140;9;s11000001110001111100000000111111;
5;10158;3130;3139;615;615;606;571;604;3139;3130;3129;614;605;614;3139;3137;3129;3129;3130;606;606;615;602;615;606;615;614;3139;3137;3130;3139;3139;3139;10;s11000001110001111100000000111111;
5;10154;3139;3139;606;606;615;615;606;3130;3138;3129;606;615;606;3138;3130;3139;3130;3138;615;606;615;614;614;605;606;606;3139;3130;3129;3137;3135;3138;11;s11000001110001111100000000111111;
5;10156;3139;3130;614;615;615;606;615;3139;3139;3130;614;606;606;3130;3130;3130;3131;3144;616;607;613;607;609;862;615;606;3138;3130;3140;3130;2201;3139;12;s11000001110001111100000e001111e1;
5;10154;3138;3137;605;614;615;615;606;3129;3130;3139;606;615;606;3129;3129;3138;3139;3130;606;606;606;615;606;606;614;605;3134;3129;3129;3139;3138;3129;13;s11000001110001111100000000111111;
5;10169;3138;3138;615;606;605;606;606;3130;3234;3139;605;614;615;3130;3139;3132;3139;3130;605;605;615;606;615;615;605;614;3130;3136;3135;3138;3130;3129;14;s11000001e10001111100000000111111;
5;10153;3138;3130;606;606;606;1785;3136;3134;3143;616;615;606;3143;3126;3134;3132;2579;616;615;607;606;607;615;616;615;3134;3134;3127;3134;3130;3138;1109;15;s11000e1110001111e00000000111111e;
5;10153;3139;3130;614;615;606;606;615;3139;3139;3133;535;606;605;3138;3129;3138;3139;3139;627;606;615;615;615;606;606;605;3138;3129;3130;3130;3137;3128;16;s11000001110001111100000000111111;
5;10157;3141;3130;605;605;606;605;606;3129;3138;3138;597;605;605;3139;3130;3139;3130;3130;614;606;615;615;614;615;606;614;3138;3138;3130;3139;3130;3137;17;s11000001110001111100000000111111;
5;10155;3130;3138;614;614;606;588;614;3130;3138;3139;605;615;605;3129;3137;3138;3130;3139;615;606;606;606;605;605;606;615;3138;3129;3139;3130;3139;3139;18;s11000001110001111100000000111111;
5;10144;3138;3138;606;605;614;606;614;3138;3139;3139;615;615;606;3129;3122;3136;3138;3129;615;606;606;615;615;606;614;615;3130;3273;3137;3141;3139;3138;19;s110000011100011111000000001e1111;
5;10158;3140;3129;605;605;606;614;605;3138;3137;3129;615;605;614;3138;3138;3139;3129;3140;615;614;614;597;605;605;605;606;3139;3130;3138;3129;3139;3129;20;s11000001110001111100000000111111;
5;10155;3139;3130;606;606;606;615;605;3129;3130;3130;604;597;606;3139;3130;3129;3138;3133;605;605;614;605;614;615;615;614;3134;3138;3129;3085;3129;3129;21;s11000001110001111100000000111111;
5;10155;3139;3129;606;606;615;606;606;3133;3138;3130;606;606;615;3141;3137;3138;3128;3137;606;615;615;614;614;605;605;606;3139;3139;3137;3139;3130;3139;22;s11000001110001111100000000111111;
5;10154;3130;3130;606;615;606;613;606;3130;3139;3139;606;614;605;3138;3130;3138;3138;3138;615;614;605;605;606;606;606;606;3130;3137;3139;3130;3130;3130;23;s11000001110001111100000000111111;
5;10153;3143;3134;607;606;680;615;619;3132;3131;3130;606;606;606;3142;3138;3138;3129;3139;614;615;614;614;605;606;605;606;3139;3138;3138;3133;3138;3130;24;s1100e001110001111100000000111111;
5;10154;3139;3129;605;605;606;615;606;3130;3130;3137;606;614;606;3139;3130;3133;3130;3138;614;609;614;614;597;605;606;606;3138;3130;3138;3138;3140;3129;25;s11000001110001111100000000111111;
5;10154;3139;3138;614;614;615;606;615;3138;3139;3130;606;606;615;3137;3130;3141;3130;3131;614;614;615;562;606;606;600;606;3139;3130;3138;3129;3138;3170;26;s11000001110001111100000000111111;
5;10164;3130;3139;615;606;606;606;606;3138;3130;3130;615;606;615;3138;3137;3130;3130;3129;606;606;605;605;609;615;606;614;3138;3138;3130;3130;3148;3139;27;s11000001110001111100000000111111;
5;10153;3139;3135;615;615;606;606;614;3136;2998;3130;606;606;606;3139;3130;3137;3127;3143;607;607;615;615;616;606;607;606;3135;3130;3129;3129;3138;3139;28;s11000001e10001111100000000111111;
5;10163;3138;3130;605;606;605;606;615;3138;3130;3138;606;615;615;3130;3139;3130;3139;3139;606;615;606;606;615;615;606;614;3139;3135;3132;3138;3136;3139;29;s11000001110001111100000000111111;
5;10163;3129;3138;605;606;614;605;615;3138;3138;3129;605;605;615;3133;3138;3138;3139;3139;615;615;605;605;605;606;606;615;3139;3139;3139;3129;3129;3137;30;s11000001110001111100000000111111;
5;10151;3145;3132;613;614;606;606;615;3130;3134;3130;605;605;606;3139;3137;3138;6845;608;614;615;606;615;615;615;606;3135;3139;3139;3139;3130;3138;1108;31;s1100000111000111e00000000111111e;
5;10163;3129;3139;606;606;614;614;606;3137;3138;3130;606;606;606;3138;3134;3139;3090;3139;614;615;606;606;606;606;615;606;3139;3130;2264;3139;3139;3130;32;s1100000111000111110000000011e111;
5;10156;3138;3139;614;614;615;614;614;3129;3129;3138;606;614;605;3130;3138;3130;3138;3138;605;605;606;606;606;606;606;614;3129;3138;3138;3128;3139;3138;33;s11000001110001111100000000111111;
5;10283;3131;3134;615;615;597;606;606;3131;3138;3130;606;606;605;3138;3129;3141;3129;3138;615;614;606;614;615;615;606;606;3139;3130;3130;3129;3137;3137;34;e11000001110001111100000000111111;
5;10154;3139;3129;605;606;606;605;614;3130;3129;3147;605;597;605;3138;3129;3138;3129;3139;615;605;614;615;606;615;606;597;3138;3130;3139;3130;3130;3130;35;s11000001110001111100000000111111;
5;10154;3139;3139;606;606;614;615;613;3131;3140;3129;606;606;606;3138;3130;3137;3138;3139;606;615;615;605;614;615;606;606;3139;3130;3139;3130;3139;3138;36;s11000001110001111100000000111111;
5;10152;3138;3138;615;605;605;605;606;3139;3132;3129;614;605;614;3139;3138;3129;3138;3129;605;606;606;605;614;606;614;605;3130;3138;3130;3138;3130;3130;37;s11000001110001111100000000111111;
5;10155;3138;3130;606;606;614;605;614;3139;3138;3128;606;605;614;3138;3129;3138;3138;3138;605;615;606;614;605;606;605;605;3138;3129;3130;3138;3137;3129;38;s11000001110001111100000000111111;
5;10155;3139;3134;605;606;615;606;606;3130;3139;3136;598;606;606;3137;3132;3130;3136;3139;606;615;606;614;614;606;606;606;3139;3126;3292;3130;3129;3140;39;s1100000111000111110000000011e111;
5;10154;3138;3130;606;606;604;614;606;3139;3130;3143;614;597;606;3139;3130;3138;3130;3130;614;606;1003;615;615;607;616;607;3134;3146;3134;3142;3134;3134;40;s11000001110001111100e00000111111;
5;10156;3139;3138;606;606;606;607;3124;3135;3125;599;607;607;3135;3130;3139;3562;3131;615;615;606;614;615;606;606;606;3138;3132;3139;3130;3138;3129;1109;41;s110000111000111e100000000111111e;
5;10154;3138;3130;606;606;606;615;614;3130;3138;3129;606;606;606;3139;3136;3139;3130;3130;612;606;615;614;606;606;606;606;3132;6845;3130;3138;3130;1109;42;s110000011100011111000000001e111e;
5;10163;3138;3138;605;605;615;606;614;3139;3139;3130;606;606;606;3139;3138;3138;3129;3130;615;606;614;614;597;604;606;606;3139;3130;3138;3129;3138;3129;43;s11000001110001111100000000111111;
5;10153;3139;3130;605;605;605;615;4321;3138;3130;614;606;606;3139;3133;3139;3139;3135;614;615;615;606;606;606;605;614;3137;3129;3139;3130;3137;3129;1117;44;s110000e110001111100000000111111e;
5;10166;3129;3139;614;614;606;605;606;3138;3129;3138;605;614;615;3129;3130;3130;3138;3129;606;606;606;614;606;606;615;606;3130;3139;3128;3138;3130;3130;45;s11000001110001111100000000111111;
5;10159;3129;3139;614;614;615;596;606;3139;3129;3138;605;614;615;3129;3139;3139;3139;3130;606;606;606;606;606;615;606;606;3130;3130;3130;3137;3131;3139;46;s11000001110001111100000000111111;
5;10163;3130;3139;605;606;614;614;606;3138;3138;3129;606;605;614;3129;3130;3130;3138;3138;606;606;606;614;610;606;606;615;3130;3139;3139;3130;3139;3137;47;s11000001110001111100000000111111;
5;10163;3138;3138;615;605;605;606;605;3138;3129;3138;614;605;615;3138;3139;3129;3138;3139;605;614;606;606;615;606;614;615;3139;3138;3130;3139;3130;3129;48;s11000001110001111100000000111111;
5;10162;3129;3137;614;615;605;605;604;3139;3129;3138;614;605;614;3130;3139;3127;3138;3129;606;605;605;614;606;606;615;606;3130;3130;3134;3134;3134;3134;49;s11000001110001111100000000111111;
5;10153;3129;3138;615;614;618;614;597;3138;3138;3130;615;606;614;3129;3138;3130;3138;3129;605;605;606;605;606;615;605;614;3130;3138;3130;3129;3138;3139;50;s11000001110001111100000000111111;
5;10253;3139;3138;606;615;606;616;3125;3130;3226;606;614;605;3139;3130;3139;3510;3136;614;606;588;606;596;605;606;605;3138;3130;3138;2980;3138;3130;1109;51;e11000011e000111e100000000111e11e;
5;10155;3130;3137;606;615;606;615;615;3130;3139;3126;606;606;615;3134;3130;3143;3135;3134;607;615;616;606;607;607;607;615;3133;3136;2653;3125;3134;3125;52;s1100000111000111110000000011e111;
5;10154;3147;3130;615;606;615;606;615;3135;3139;3130;606;606;606;3132;3130;3130;3136;3137;615;614;614;615;615;605;606;606;3138;3128;3138;3130;3138;3130;53;s11000001110001111100000000111111;
5;10157;3139;3139;606;606;606;615;4318;3138;3129;606;606;606;3138;3129;3139;3131;3133;614;605;614;615;614;605;606;605;3138;3129;3138;3138;3129;3139;1108;54;s110000e110001111100000000111111e;
5;10163;3129;3138;606;605;614;606;615;3139;3139;3130;606;606;606;3138;3138;3138;3130;3139;640;615;615;614;605;605;606;605;3138;3129;3130;3138;3138;3129;55;s11000001110001111100000000111111;
5;10163;3129;3139;614;614;606;597;606;3139;3130;3130;614;606;615;3139;3139;3128;3138;3139;606;606;606;606;606;614;606;615;3137;3138;3129;3129;3130;3139;56;s11000001110001111100000000111111;
5;10159;3134;3134;615;614;616;598;607;3134;3134;3134;615;616;607;3134;3134;3135;3134;3134;606;598;606;607;607;607;615;616;3124;3134;3129;3129;3129;3139;57;s11000001110001111100000000111111;
5;10167;3130;3129;606;605;614;606;614;3138;3138;3138;615;615;615;3130;3148;3138;3138;3139;606;614;606;606;615;615;606;615;3139;3139;3133;3139;3133;3130;58;s11000001110001111100000000111111;
5;10154;3138;3130;605;606;605;606;614;3129;3138;3139;615;606;597;3139;3130;3138;3139;3128;615;606;606;615;615;606;614;615;3130;3143;3139;3139;3130;3132;59;s11000001110001111100000000111111;
5;10154;3129;3138;614;614;615;614;605;3130;3129;3139;605;614;606;3130;3139;3130;3139;3130;605;605;606;606;605;614;606;615;3139;3138;3130;3139;3139;3129;60;s11000001110001111100000000111111;
5;10158;3139;3144;606;606;606;605;4319;3125;3139;614;606;615;3138;3140;3129;3139;3144;605;615;606;615;620;614;614;606;3133;3138;3130;3139;3139;3139;1108;61;s110000e110001111100000000111111e;
5;10152;3138;3130;614;615;605;614;605;3138;3138;3129;614;605;606;3138;3138;3138;3129;3139;615;614;614;615;606;606;615;606;3138;3129;3129;3138;3138;3130;62;s11000001110001111100000000111111;
5;10401;3134;3129;606;605;605;606;605;3138;3136;3138;615;614;596;3138;3141;3138;3138;3129;614;606;614;605;615;614;615;614;3129;3138;3130;3138;3139;3139;63;e11000001110001111100000000111111;
5;10154;3130;3138;606;606;606;638;615;3138;3130;3132;614;606;614;3138;3139;3129;3129;3130;605;606;605;614;606;614;605;615;3138;3139;3130;3129;3147;3138;64;s11000001110001111100000000111111;
5;10154;3130;3138;606;606;615;606;606;3130;3139;3138;605;614;606;3137;3132;3138;3129;3138;615;615;615;606;605;605;606;606;3140;3130;3142;3126;3134;3126;65;s11000001110001111100000000111111;
5;10163;3130;3138;614;606;606;606;615;3138;3130;3136;614;614;614;3138;3138;3129;3138;3138;606;614;605;615;615;606;615;632;3130;3138;3139;3139;3129;3139;66;s11000001110001111100000000111111;
5;10153;3130;3139;606;614;606;615;614;3126;3139;3139;606;615;606;3137;3138;3139;3129;3138;614;614;606;605;605;606;614;605;3138;3138;3138;3130;3138;3139;67;s11000001110001111100000000111111;
5;10163;3128;3138;615;606;615;614;615;3130;3139;3134;615;606;606;3130;3130;3138;3134;3139;608;605;606;606;606;606;615;606;3139;3130;3139;3139;3134;3138;68;s11000001110001111100000000111111;
