distance(cm);start;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;end;index;code
50;9801;1808;1808;600;600;591;591;587;1824;1817;1818;591;535;591;1817;1807;1817;1817;1807;600;590;599;590;591;600;591;600;1808;1817;1808;1813;1808;1808;1085;0;s11000001110001111100000000111111t;
50;9793;1808;1807;600;591;600;591;600;1809;1808;1808;592;591;601;1808;1808;1817;1808;1817;591;591;591;598;591;591;600;591;1808;1808;1807;1808;1808;1816;1076;1;s11000001110001111100000000111111t;
50;9799;1817;1817;600;590;591;600;600;1810;1817;1820;591;591;591;1808;1807;1817;1808;1817;600;600;591;591;600;600;591;564;1817;1807;1808;1817;1808;1817;1075;2;s11000001110001111100000000111111t;
50;9806;1817;1817;600;590;591;591;600;1808;1817;1817;600;590;589;1816;1808;1808;1817;1808;599;600;600;590;600;600;590;591;1807;1815;1807;1809;1808;1808;1085;3;s11000001110001111100000000111111t;
50;9808;1817;1817;591;590;600;590;591;1817;1808;1808;591;600;591;1817;1815;1808;1816;1808;591;599;591;590;591;599;600;599;1817;1817;1808;1817;1817;1808;1085;4;s11000001110001111100000000111111t;
50;9799;1812;1815;590;591;599;600;591;1817;1817;1808;591;600;601;1817;1808;1808;1789;1818;591;600;591;601;600;591;591;600;1808;1817;1817;1818;1815;1815;1076;5;s11000001110001111100000000111111t;
50;9806;1817;1817;591;591;592;590;600;1816;1816;1816;599;591;590;1817;1808;1808;1817;1807;590;600;599;591;600;590;600;590;1807;1817;1807;1817;1817;1808;1077;6;s11000001110001111100000000111111t;
50;9803;1811;1812;594;595;595;594;594;1811;1821;1821;594;595;594;1820;1811;1812;1802;1812;603;604;595;594;594;603;594;594;1811;1802;1811;1811;1808;1811;1080;7;s11000001110001111100000000111111t;
50;9793;1808;1816;599;591;590;600;599;1817;1817;1817;591;589;591;1807;1807;1807;1807;1808;600;600;591;590;591;600;591;591;1815;1807;1817;1817;1817;1817;1076;8;s11000001110001111100000000111111t;
50;9800;1817;1817;591;591;600;600;591;1809;1808;1808;590;600;600;1806;1816;1817;1808;1817;600;590;600;591;599;591;599;591;1807;1816;1816;1808;1817;1817;1076;9;s11000001110001111100000000111111t;
